"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"principalmente";-0,357;-2,469;-1,184;6,526;0,007
"aquela";11,249;-1,581;-0,003;-0,128;-1,732
"dez";-2,575;-0,243;-0,531;2,401;0,598
"cujo";2,106;4,354;-1,046;-5,463;0,042
"2021";-3,317;25,741;-2,916;-1,725;-0,147
"dentro";0,133;0,313;0,324;0,327;-4,1
"cinco";0;0,108;-0,415;1,42;-1,282
"12";-0,179;5,137;-0,062;-5,025;0,881
"ninguém";0,133;-1,798;1,678;2,746;-4,1
"30";0,063;-0,012;-1,777;0,153;0,333
"25";-0,745;18,02;-0,531;-6,303;0,011
"2016";-0,108;-0,501;-2,59;-0,264;8,794
"15";0,58;1,061;-2,102;-1,477;0,888
"bastante";-1,045;-0,501;-0,78;1,242;1,197
"9";-0,603;5,927;0,026;-1,477;-0,194
"4";0,238;21,423;-2,427;-4,157;-1,732
"verdadeiro";0,238;-1,581;2,078;0,041;-0,451
"100";16,964;-0,061;-0,308;-2,881;-1,066
"si";1,625;0,708;-1,615;0,388;-2,556
"recentemente";0,013;0,234;0,08;-1,147;0,166
"provavelmente";-1,652;-0,404;0,531;0,025;0,951
"novamente";0,063;4,752;-1,777;-0,839;-0,03
"jamais";1,625;-0,576;-0,125;-0,004;-0,001
"diretamente";0,158;-0,576;2,195;-0,004;-0,657
"através";-0,229;0,002;-0,125;1,712;-0,657
"6";-0,469;3,784;-0,308;-0,198;-0,098
"21";-0,603;-1,158;0,026;5,738;-1,282
"2017";0;3,001;-2,102;-0,376;0,063
"19";-2,575;-0,243;15,425;-0,594;-0,314
"11";0;1,061;-0,415;-3,302;2,67
"realmente";-0,343;-0,761;-0,21;5,538;-0,857
"rapidamente";-2,206;-0,061;0,08;0,652;0,166
"cima";7,608;-0,012;-1,777;-0,839;-0,03
"atualmente";-1,284;-0,121;1,275;2,26;-1,787
"atrás";0;-0,14;-2,102;3,217;-0,194
"ambos";0,84;-2,919;3,837;0,033;-1,066
"acima";-1,836;0,002;-1,615;3,976;-0,001
"somente";0,158;5,962;0,318;-4,495;-0,657
"sobretudo";-1,836;2,695;0,318;-0,004;-0,657
"simplesmente";-1,836;-2,43;-0,125;1,712;2,413
"mal";-0,469;-0,956;1,257;2,056;-1,066
"7";-0,229;5,962;-1,615;-0,561;-0,001
"50";2,208;0,043;-0,057;-1,66;0,021
"terceiro";9,167;-2,43;0,318;-4,495;0,586
"longe";-0,229;2,695;-0,125;-0,561;-0,001
"finalmente";1,18;-0,761;-0,21;0,153;-0,03
"exatamente";0,158;0,002;-0,125;0,388;-0,657
"cuja";0,063;-0,012;0,174;0,153;-0,857
"completamente";-0,131;-0,404;-1,452;0,774;0,951
"claramente";-0,343;-0,761;-1,777;2,888;0,333
"44";-0,343;8,661;-1,777;-0,839;-0,03
"14";-1,836;5,962;-0,125;-2,058;0,586
"sete";0,924;-0,121;-1,129;-3,142;5,897
"politicamente";-0,229;-0,576;-1,615;-0,004;5,482
"necessariamente";0,559;1,661;-1,291;-0,132;-0,301
"certamente";-0,131;1,105;0,531;-1,66;0,021
"afinal";0,158;0,002;0,318;-0,004;-0,657
"8";-0,131;7,494;-1,452;-1,66;0,021
"2014";-1,468;1,661;-1,291;0,163;0,11
"seis";-0,916;1,344;-0,806;-0,28;1,204
"quão";0,559;-1,942;-1,291;-1,275;8,844
"nove";-1,468;1,661;-1,291;-0,132;1,47
"_";-0,733;0,078;0,417;0,683;-1,02
"13";-1,1;8,537;-0,967;-0,572;-0,049
"0";0,079;5,243;0,159;-2,243;-1,275
"mim";-0,054;-1,942;-1,291;7,303;-0,301
"logo";-1,1;3,571;0,04;0,016;-1,531
"infelizmente";-0,054;-0,25;-0,012;-0,132;1,47
"cedo";2,984;-0,25;-0,012;-1,275;0,11
"aquilo";-1,1;-1,456;0,04;7,737;-1,531
"90";0,279;7,872;-0,644;-1,793;-1,02
"60";-0,007;0,37;-1,129;-0,018;0,298
"26";-1,1;0,736;0,04;-2,692;3,284
"18";-1,284;2,445;1,275;-0,909;-0,156
"trilhão";-1,1;15,633;-0,967;-2,692;-0,049
"sequer";0,079;1,344;0,159;-0,28;-1,275
"s";21,203;-0,03;-0,967;-2,692;-1,531
"publicamente";-1,284;-0,121;0,001;-0,909;5,897
"ontem";7,606;0,001;0,159;-2,243;-1,275
"oficialmente";1,47;-1,456;-0,967;-2,692;8,001
"justamente";-1,1;-0,03;0,04;0,016;0,633
"eventualmente";5,491;-0,03;-0,967;-0,572;-0,049
"b";-0,549;0,367;0,956;0,008;-0,765
"ali";1,47;-1,456;0,04;-0,572;0,633
"2012";-0,007;-1,699;-1,129;0,468;2,211
"17";0,734;-0,727;-0,483;0,008;0,316
"quê";0,279;-0,97;-0,644;0,683;0,055
"perto";-1,1;-0,03;0,04;1,025;-0,049
"oito";-0,733;0,078;0,417;-0,066;0,055
"d";-0,549;4,263;-0,483;-1,344;0,316
"66";-1,1;-0,03;-0,967;1,025;0,633
"40";0,079;0,001;-0,806;0,193;0
"31";0,079;1,344;0,159;-0,28;-1,275
"23";7,606;1,344;-0,806;-2,243;-1,275
"2015";-1,1;15,633;-0,967;-2,692;-0,049
"2013";0,007;3,571;0,04;-0,572;-1,531
"2008";-1,1;-0,03;0,04;0,016;0,633
"1980";-0,549;0,367;-0,483;0,008;0,316
"trás";-0,733;0,078;0,417;0,683;-1,02
"totalmente";-0,733;-0,97;0,417;-1,793;7,416
"perfeitamente";0,079;1,344;0,159;-0,28;-1,275
"historicamente";-0,916;1,344;8,944;-2,243;-1,275
"extremamente";-0,916;0,001;8,944;-0,28;-1,275
"exclusivamente";-0,916;5,243;0,159;-0,28;-1,275
"economicamente";0,079;0,001;-0,806;0,193;0
"consigo";-0,733;-0,97;0,417;0,683;0,055
"aliás";0,079;-1,212;0,159;1,984;-1,275
"absolutamente";0,279;0,078;-0,644;-0,066;0,055
"49";2,309;1,344;-0,806;-0,28;-1,275
"46";0,079;0,001;0,159;-2,243;1,204
"38";0,279;0,078;-0,644;-0,066;0,055
"37";-0,916;5,243;-0,806;-0,28;0
"22";0,734;-0,727;-0,483;0,008;0,316
"200";-0,733;0,078;-0,644;0,683;0,055
"1988";-0,733;0,078;4,388;-0,066;-1,02
"tarde";0,734;-0,727;-0,483;-1,344;3,995
"t";-0,733;-0,97;-0,644;3,645;0,055
"sexto";6,027;-0,727;-0,483;-1,344;0,316
"relativamente";-0,733;2,379;-0,644;-0,066;0,055
"normalmente";-0,549;-0,727;0,956;1,797;-0,765
"imediatamente";3,658;0,078;-0,644;-0,066;-1,02
"frequentemente";-0,549;-0,727;0,956;1,797;-0,765
"fortemente";-0,733;-0,97;4,388;-0,066;0,055
"excelência";-0,733;-0,97;4,388;0,683;-1,02
"evidentemente";-0,549;-0,727;7,023;0,008;-0,765
"essencialmente";-0,733;0,078;0,417;0,683;-1,02
"enfim";3,658;-0,97;0,417;-0,066;-1,02
"dificilmente";-0,733;2,379;-0,644;-0,066;0,055
"corrente";-0,733;0,078;-0,644;0,683;0,055
"constantemente";-0,549;0,367;0,956;0,008;-0,765
"consequentemente";-0,733;2,379;0,417;-0,066;-1,02
"basicamente";-0,733;0,078;0,417;-0,066;0,055
"amanhã";0,734;-0,727;-0,483;1,797;-0,765
"altamente";-0,549;0,367;-0,483;1,797;-0,765
"adiante";0,279;0,078;-0,644;-1,793;2,187
"abaixo";-0,733;2,379;0,417;-0,066;-1,02
"88";-0,733;-0,97;24,923;-1,793;-1,02
"80";16,426;-0,727;-0,483;-1,344;-0,765
"70";3,658;0,078;-0,644;-1,793;0,055
"67";-0,733;2,379;-0,644;-1,793;2,187
"600";-0,549;4,263;-0,483;-1,344;0,316
"55";-0,733;7,872;-0,644;-0,066;-1,02
"51";-0,549;12,414;-0,483;-1,344;-0,765
"35";-0,549;0,367;0,956;0,008;-0,765
"34";-0,733;16,558;-0,644;-1,793;-1,02
"300";-0,733;2,379;0,417;-1,793;0,055
"27";-0,733;2,379;-0,644;-0,066;0,055
"2001";3,658;-0,97;-0,644;-0,066;0,055
"1967";-0,733;2,379;0,417;-1,793;0,055
"1964";-0,733;-0,97;12,557;-1,793;0,055
"1921";-0,733;-0,97;-0,644;8,952;-1,02
"16";-0,549;4,263;-0,483;-1,344;0,316
"tampouco";-0,549;-0,727;-0,483;1,797;0,316
"supostamente";-0,549;-0,727;0,956;1,797;-0,765
"salvo";-0,549;-0,727;-0,483;1,797;0,316
"respectivamente";-0,549;4,263;0,956;-1,344;-0,765
"quinto";0,734;0,367;-0,483;-1,344;0,316
"plenamente";-0,549;-0,727;0,956;0,008;0,316
"inicialmente";-0,549;-0,727;-0,483;0,008;3,995
"igualmente";0,734;-0,727;-0,483;0,008;0,316
"geralmente";-0,549;-0,727;0,956;-1,344;3,995
"explicitamente";-0,549;-0,727;-0,483;0,008;3,995
"estruturalmente";-0,549;4,263;-0,483;0,008;-0,765
"doravante";0,734;-0,727;-0,483;1,797;-0,765
"diferentemente";0,734;-0,727;-0,483;-1,344;3,995
"cá";-0,549;-0,727;-0,483;0,008;3,995
"cem";-0,549;-0,727;-0,483;6,711;-0,765
"arbitrariamente";6,027;0,367;-0,483;-1,344;-0,765
"ante";-0,549;-0,727;0,956;0,008;0,316
"95";-0,549;4,263;-0,483;0,008;-0,765
"76";0,734;4,263;-0,483;-1,344;-0,765
"75";0,734;4,263;-0,483;-1,344;-0,765
"63";6,027;0,367;-0,483;-1,344;-0,765
"59";0,734;0,367;-0,483;0,008;-0,765
"47";-0,549;12,414;-0,483;-1,344;-0,765
"32";-0,549;12,414;-0,483;-1,344;-0,765
"28";-0,549;0,367;0,956;0,008;-0,765
"24";0,734;-0,727;-0,483;-1,344;3,995
"2011";-0,549;0,367;0,956;-1,344;0,316
"197";-0,549;-0,727;0,956;-1,344;3,995
"*tit_13";1,163;-6,604;-0,019;5,237;-0,904
"*tit_32";0,318;-4,881;2,102;-0,331;1,176
"*tit_33";-1,284;0,37;-1,129;5,394;-1,787
"*tit_30";-0,162;-12,866;166,633;-9,35;-13,533
"*tit_31";1,18;19,972;-1,777;-4,946;-2,813
"*tit_36";43,695;-0,006;-2,59;-4,59;-4,1
"*tit_37";-3,241;92,16;-4,72;-10,373;-5,148
"*tit_34";-0,131;1,105;-1,452;2,567;-2,299
"*tit_35";-3,575;-10,096;-2,815;27,286;0,071
"*tit_38";30,287;0,497;-0,653;-6,757;-3,842
"*tit_39";0,559;0,156;-0,012;-0,132;-0,301
"*dia_15_03";1,163;-6,604;-0,019;5,237;-0,904
"*tit_22";1,625;16,337;-1,615;-4,495;-2,556
"*dia_15_01";-5,574;-3,318;-2,968;6,361;6,24
"*aut_54";-5,557;-5,052;0,202;-0,819;24,866
"*aut_48";0,034;-0,733;4,183;0,47;-3,486
"*aut_49";-0,211;-3,514;-1,26;-7,927;41,725
"*tit_138";-4,994;-1,22;0,021;-0,319;13,109
"*tit_139";-1,468;-1,942;-1,291;-1,275;22,423
"*aut_40";3,263;21,108;-3,243;-4,133;-5,134
"*dia_04_01";-5,182;-4,573;0,005;25,778;-3,028
"*aut_42";1,13;7,379;0,003;-1,398;-5,393
"*dia_04_03";-1,904;1,804;27,192;-9,642;-0,986
"*aut_44";-2,024;6,499;-1,611;1,038;-1,722
"*aut_45";-2,713;-4,098;6,307;11,54;-6,691
"*aut_46";-0,343;-2,674;4,695;-2,465;4,328
"*aut_47";-3,023;-7,089;-0,415;0,619;14,7
"*dia_06_02";0,034;-0,733;4,183;0,47;-3,486
"*dia_19_02";-0,108;47,507;-2,59;-7,21;-4,1
"*dia_19_03";-0,015;-3,408;2,558;4,534;-3,584
"*tit_46";0,063;13,734;0,174;-4,946;-2,813
"*aut_51";0,853;-0,65;-0,911;-0,018;0,881
"*dia_06_01";-1,691;-4,978;-4,074;-0,383;33,775
"*aut_27";-1,589;-2,798;170,588;-19,398;-11,401
"*tit_131";-3,072;-3,306;96,393;-4,139;-7,445
"*dia_08_02";-0,343;-2,674;4,695;-2,465;4,328
"*dia_08_03";42,138;10,218;-6,662;-11,233;-8,499
"*tit_47";-1,524;-2,469;-3,079;-3,729;40,754
"*dia_06_03";-7,104;-0,05;-7,237;50,183;-10,334
"*tit_45";-0,108;47,507;-2,59;-7,21;-4,1
"*tit_44";3,263;21,108;-3,243;-4,133;-5,134
"*tit_43";-5,557;78,968;-2,817;-4,4;-7,734
"*tit_42";-0,469;1,475;0,08;0,652;-3,07
"*tit_41";-0,469;-0,061;20,002;-2,881;-1,066
"*tit_40";92,61;-0,521;-6,542;-8,336;-5,881
"*jor_01";-12,326;-2,329;4,375;16,694;-3,36
"*jor_02";12,326;2,329;-4,375;-16,694;3,36
"*dia_18_01";-5,781;-8,219;-3,106;12,708;5,769
"*tit_49";-2,713;-4,098;6,307;11,54;-6,691
"*tit_48";-2,024;6,499;-1,611;1,038;-1,722
"*dia_07_01";-4,807;-6,361;0,052;-2,97;38,94
"*tit_129";0,58;14,738;-0,415;-3,302;-3,327
"*tit_128";-0,942;1,449;-0,037;1,311;-2,143
"*tit_127";-3,776;-0,011;-1,57;-2,249;21,629
"*tit_126";-0,229;-0,576;10,999;-0,561;-0,657
"*tit_125";1,47;-1,456;-0,967;-0,572;3,284
"*tit_123";0,559;15,771;-1,291;-3,593;-2,043
"*dia_11_03";3,703;14,807;-2,91;-2,374;-5,216
"*tit_121";5,179;-0,365;-1,467;1,414;-3,158
"*tit_120";31,774;2,729;-2,753;-7,664;-4,358
"*tit_03";-2,761;-1,581;55,362;-4,157;-1,732
"*dia_07_02";-3,82;-2,139;-0,238;-0,872;21,997
"*aut_122";0;-1,158;-2,102;3,217;0,063
"*tit_06";14,738;-1,158;0,933;-1,477;-3,327
"*dia_01_03";-0,229;-2,43;-0,125;3,976;-0,001
"*dia_01_02";2,948;-2,919;-1,939;-1,147;6,584
"*dia_01_01";-5,229;-0,521;0,045;0,317;3,752
"*tit_05";-3,503;59,812;-3,079;-5,903;-2,674
"*tit_04";-0,309;-0,001;-2,205;0;3,337
"*dia_27_03";0,034;0,005;-2,817;7,147;-3,486
"*dia_27_02";5,625;-0,216;-0,136;-1,012;-0,041
"*tit_24";2,948;-0,956;-0,308;-0,198;0,166
"*tit_54";-4,061;-3,159;3,353;11,129;-3,403
"*tit_55";-4,994;-0,016;-0,172;-0,967;13,109
"*tit_56";-0,007;-1,699;-1,129;-3,142;18,584
"*tit_57";0,853;-0,65;-0,911;-0,018;0,881
"*tit_50";-0,343;-2,674;4,695;-2,465;4,328
"*tit_51";-0,46;-4,881;0,639;0,157;2,7
"*tit_52";0,034;-0,733;4,183;0,47;-3,486
"*tit_53";1,853;-0,243;0,002;-3,727;2,072
"*tit_58";-0,231;-2,124;-0,072;-2,633;15,713
"*tit_59";-4,807;-2,33;-4,226;-6,64;67,268
"*tit_112";20,25;-0,98;-1,184;-2,053;-0,24
"*tit_113";11,113;3,588;-1,452;-4,044;-2,299
"*tit_110";0,034;0,005;-2,817;7,147;-3,486
"*tit_111";9,334;2,445;-1,129;-3,142;-1,787
"*tit_116";-0,229;-2,43;-0,125;3,976;-0,001
"*tit_117";-1,045;3,333;1,678;-2,559;-0,024
"*tit_114";-0,603;44,192;-2,102;-5,851;-3,327
"*tit_115";16,568;1,846;-2,427;-6,757;-0,451
"*tit_118";12,308;-0,048;-0,234;-0,073;-4,896
"*dia_02_02";0,003;0,434;-0,016;-0,07;-0,083
"*tit_01";-4,434;-3,626;-1,905;0,066;21,701
"*aut_34";-3,241;92,16;-4,72;-10,373;-5,148
"*dia_25_01";0,853;-0,65;-0,911;-0,018;0,881
"*dia_25_02";11,113;3,588;-1,452;-4,044;-2,299
"*dia_03_01";-2,206;-2,919;-1,939;2,056;6,584
"*dia_03_03";0,008;-1,899;125,271;-13,872;-16,474
"*dia_09_03";1,167;19,789;-0,835;-2,97;-6,691
"*dia_09_02";-0,317;-0,019;0,025;11,213;-11,167
"*aut_38";-0,469;1,475;0,08;0,652;-3,07
"*tit_61";-5,781;-8,219;-3,106;12,708;5,769
"*tit_60";-2,194;-3,392;-0,517;12,792;-0,121
"*tit_63";-5,557;-5,052;0,202;-0,819;24,866
"*tit_62";1,625;0,002;-0,125;0,388;-2,556
"*tit_65";0;-1,158;-0,415;8,983;-3,327
"*tit_64";-5,557;-7,353;-2,817;29,773;-0,002
"*tit_67";-4,807;-6,361;0,052;-2,97;38,94
"*tit_66";-5,182;-6,857;1,364;9,123;0,023
"*tit_69";-1,855;-2,927;-0,332;6,822;0,162
"*tit_68";-2,539;-3,861;-2,055;-4,234;48,495
"*aut_102";7,618;0,795;-0,114;-3,332;-0,945
"*aut_103";145,135;20,043;-16,263;-42,306;-18,495
"*aut_104";-3,317;-4,389;-1,046;28,537;-2,434
"*aut_105";-0,262;10,768;-1,046;0,049;-4,616
"*aut_106";-0,689;-5,374;0,349;1,038;1,826
"*aut_107";0,034;0,005;-2,817;7,147;-3,486
"*aut_17";-0,131;-0,404;-0,057;0,774;0,021
"*aut_16";20,471;1,168;-2,055;-2,633;-4,145
"*aut_15";-1,1;-1,456;6,588;1,025;-1,531
"*aut_14";13,511;36,325;-4,074;-14,469;-9,83
"*tit_101";-2,575;0,742;0,002;4,534;-3,584
"*aut_12";1,163;-6,604;-0,019;5,237;-0,904
"*aut_11";-0,052;-0,364;-0,003;3,551;-1,732
"*aut_10";-1,688;47,09;-1,324;-4,133;-5,134
"*tit_07";-3,419;-7,353;0,963;-0,257;16,587
"*tit_109";-0,015;-3,408;2,558;4,534;-3,584
"*dia_14_03";53,897;-2,243;-2,916;-1,725;-4,616
"*aut_19";-2,021;8,661;0,174;-0,069;-2,813
"*aut_18";-3,317;32,16;-1,046;-1,725;-2,434
"*tit_23";25,958;0,149;-1,611;-1,687;-5,652
"*dia_13_03";-4,621;-6,114;-2,055;19,964;0,215
"*tit_70";-2,888;-2,539;-2,357;0,479;13,109
"*dia_24_03";-3,503;59,812;-3,079;-5,903;-2,674
"*tit_71";-2,39;1,061;6,636;0;-3,327
"*dia_23_01";-0,231;-2,124;-0,072;-2,633;15,713
"*tit_134";-2,39;1,061;0,026;0;0,063
"*dia_23_02";10,701;79,913;-10,406;-23,327;-11,722
"*aut_118";-4,863;-0,985;-1,148;-2,824;33,775
"*dia_30_03";-5,133;0,009;-4,154;4,092;1,879
"*aut_13";53,897;-2,243;-2,916;-1,725;-4,616
"*dia_30_01";-4,061;-3,159;3,353;11,129;-3,403
"*aut_113";1,853;4,905;-2,264;-3,727;0,011
"*aut_112";-1,045;3,333;1,678;-2,559;-0,024
"*aut_111";-0,229;-2,43;-0,125;3,976;-0,001
"*aut_110";1,409;15,695;-8,993;-4,565;0,004
"*aut_117";-3,072;-3,306;96,393;-4,139;-7,445
"*aut_116";-0,285;2,498;3,029;-0,698;-2,595
"*aut_115";-3,776;-0,011;-1,57;-2,249;21,629
"*aut_114";-0,229;-0,576;10,999;-0,561;-0,657
"*aut_04";-15,178;-12,694;-1,998;41,391;0,692
"*aut_05";-3,503;59,812;-3,079;-5,903;-2,674
"*aut_06";14,738;-1,158;0,933;-1,477;-3,327
"*aut_07";-3,419;-7,353;0,963;-0,257;16,587
"*aut_01";-9,532;-1,98;-1,576;-0,294;34,367
"*aut_02";-7,063;-9,346;-4,074;46,406;-0,483
"*aut_03";-5,182;-0,048;52,157;-2,263;-4,896
"*aut_08";-11,066;-9,991;147,592;-0,409;-12,935
"*aut_09";2,984;-0,25;-1,291;-0,132;0,11
"*dia_17_03";-1,554;-3,1;-2,247;5,532;2,072
"*aut_108";6,697;0,33;-1,193;-0,007;-3,44
"*aut_53";-4,807;-2,33;-4,226;-6,64;67,268
"*aut_109";40,09;0,723;-2,357;-7,069;-4,645
"*tit_103";4,434;20,036;-2,916;-8,118;-2,434
"*dia_22_01";0,559;15,771;-1,291;-3,593;-2,043
"*dia_22_02";116,699;-0,011;-0,004;-23,638;-15,698
"*dia_22_03";-14,544;-17,515;110,96;-0,677;-0,305
"*dia_12_03";9,18;26,616;-0,851;-10,002;-11,411
"*dia_12_02";-2,539;-3,861;-2,055;-4,234;48,495
"*aut_41";-0,108;47,507;-2,59;-7,21;-4,1
"*dia_05_03";-1,671;-8,788;-8,611;63,1;-6,385
"*tit_136";-3,241;-7,105;-0,302;-0,153;26,677
"*dia_05_02";-4,994;-1,22;0,021;-0,319;13,109
"*tit_09";2,984;-0,25;-1,291;-0,132;0,11
"*tit_08";-11,066;-9,991;147,592;-0,409;-12,935
"*dia_05_01";-1,855;-2,927;-0,332;6,822;0,162
"*dia_23_03";14,738;-1,158;0,933;-1,477;-3,327
"*tit_02";-1,468;-1,942;-1,291;17,935;-2,043
"*aut_124";-1,1;-1,456;6,588;0,016;-0,049
"*aut_125";-5,182;-4,573;0,005;25,778;-3,028
"*dia_28_02";-1,045;3,333;1,678;-2,559;-0,024
"*aut_123";-1,855;-1,34;-1,467;-6,787;40,945
"*aut_120";-6,203;-9,258;-3,468;-7,43;99,356
"*aut_121";-4,994;-1,22;0,021;-0,319;13,109
"*aut_31";0,063;1,076;-0,911;0,843;-2,197
"*aut_30";-1,284;0,37;-1,129;5,394;-1,787
"*aut_33";43,695;-0,006;-2,59;-4,59;-4,1
"*aut_32";-3,575;-10,096;-2,815;27,286;0,071
"*aut_35";30,287;0,497;-0,653;-6,757;-3,842
"*tit_132";-0,262;2,218;0,121;-1,725;0,042
"*aut_37";-0,469;-0,061;20,002;-2,881;-1,066
"*aut_36";92,61;-0,521;-6,542;-8,336;-5,881
"*aut_39";-5,557;78,968;-2,817;-4,4;-7,734
"*dia_31_01";-3,797;-0,084;-4,187;1,35;6,049
"*dia_09_01";-3,575;-7,727;0,363;17,648;-0,825
"*tit_133";-2,539;-3,861;-2,055;-4,234;48,495
"*dia_10_03";20,25;-0,98;-1,184;-2,053;-0,24
"*dia_26_01";40,839;-0,179;-6,144;-18,611;3,092
"*dia_26_02";-3,497;-5,92;-4,154;29,432;-0,165
"*dia_26_03";-2,117;-0,625;11,151;-1,571;0,434
"*dia_21_03";-2,575;0,742;0,002;4,534;-3,584
"*dia_21_02";3,356;83,408;-6,922;-11,053;-20,803
"*tit_18";20,471;1,168;-2,055;-2,633;-4,145
"*tit_105";-3,317;-4,389;-1,046;28,537;-2,434
"*dia_16_03";-1,29;23,111;-0,83;-0,092;-6,675
"*dia_16_02";0,063;13,734;0,174;-4,946;-2,813
"*dia_16_01";-5,557;-5,052;0,202;-0,819;24,866
"*tit_104";0,924;6,347;-1,129;-0,909;-1,787
"*tit_10";-5,369;-2,965;-1,19;8,086;2,097
"*tit_11";-1,688;47,09;-1,324;-4,133;-5,134
"*tit_12";-0,052;-0,364;-0,003;3,551;-1,732
"*dia_19_01";-2,117;-0,154;-0,096;3,293;-0,016
"*tit_14";53,897;-2,243;-2,916;-1,725;-4,616
"*tit_15";-4,621;-6,114;-2,055;19,964;0,215
"*tit_16";13,511;36,325;-4,074;-14,469;-9,83
"*tit_17";-1,1;-1,456;6,588;1,025;-1,531
"*tit_106";-0,262;10,768;-1,046;0,049;-4,616
"*aut_28";1,18;19,972;-1,777;-4,946;-2,813
"*aut_29";0,318;-4,881;2,102;-0,331;1,176
"*aut_26";-8,961;-14,897;-9,898;100,61;-5,441
"*dia_29_01";-3,072;-3,306;96,393;-4,139;-7,445
"*aut_24";-7,081;-7,806;-6,012;77,922;-8,38
"*aut_25";-0,262;-2,243;-0,114;5,154;-0,147
"*aut_22";2,948;-0,956;-0,308;-0,198;0,166
"*aut_23";15,287;9,548;-3,57;-7,232;-3,403
"*aut_20";1,625;16,337;-1,615;-4,495;-2,556
"*aut_21";25,958;0,149;-1,611;-1,687;-5,652
"*tit_130";54,713;0,003;-3,243;-9,028;-2,915
"*tit_19";-0,131;-0,404;-0,057;0,774;0,021
"*tit_107";7,328;4,765;-1,291;-3,593;-2,043
"*tit_102";7,618;0,795;-0,114;-3,332;-0,945
"*tit_25";15,287;9,548;-3,57;-7,232;-3,403
"*aut_43";-7,291;-10,728;-6,023;3,618;31,086
"*tit_27";-0,262;-2,243;-0,114;5,154;-0,147
"*tit_26";-7,081;-7,806;-6,012;77,922;-8,38
"*tit_21";-2,021;8,661;0,174;-0,069;-2,813
"*tit_20";-3,317;32,16;-1,046;-1,725;-2,434
"*dia_13_02";-1,524;-2,469;-3,079;-3,729;40,754
"*dia_17_01";-0,588;0,027;1,151;0,175;-0,766
"*dia_13_01";-3,064;-2,751;2,952;-0,073;4,17
"*aut_57";-4,807;-6,361;0,052;-2,97;38,94
"*tit_29";-1,904;1,804;27,192;-9,642;-0,986
"*tit_28";-8,961;-14,897;-9,898;100,61;-5,441
"*aut_50";-0,007;-1,699;-1,129;-3,142;18,584
"*tit_135";1,47;-1,456;-0,967;-0,572;3,284
"*aut_52";-0,231;-2,124;-0,072;-2,633;15,713
"*aut_101";-4,434;0,47;0,161;8,531;-6,171
"*aut_56";-5,182;-6,857;1,364;9,123;0,023
"*tit_137";-2,888;-2,539;-4,391;-12,224;79,479
"*aut_58";-1,855;-2,927;-0,332;6,822;0,162
"*dia_20_02";-1,836;0,002;0,318;3,976;-2,556
"*aut_55";0;-1,158;-0,415;8,983;-3,327
"*dia_20_01";-7,642;-4,924;-8,716;-18,705;148,277
"*tit_141";54,713;0,003;-3,243;-9,028;-2,915
"*tit_140";-1,688;-1,156;7,562;0,157;-0,349
"*tit_143";-2,206;-2,919;-1,939;2,056;6,584
"*tit_142";0;-1,158;-2,102;3,217;0,063
"*tit_145";-0,056;6,499;-1,611;-0,138;-0,608
"*tit_144";-1,855;-1,34;-1,467;-6,787;40,945
"*tit_147";-5,182;-4,573;0,005;25,778;-3,028
"*tit_146";-1,1;-1,456;6,588;0,016;-0,049
